titulo,descricao,link,fonte,fonte_recurso,data_publicacao,fim_inscricao,situacao,valor,programa,acao,tipo_recurso,perfil_ideal,publico_alvo,setor_estrategico,area_tecnologica,extras
Call for EIT Knowledge and Innovation Communities,"Call for EIT Knowledge and Innovation Communities Call for EIT Communities EIT Water EIT Culture & Creativity FAQs Help us build new EIT Knowledge and Innovation Communities Under our EIT Strategic Agenda (SIA) 2021-2027 we are launching new EIT Knowledge and Innovation Communities (KIC). Under this Agenda, we launched EIT Culture & Creativity in 2022 to assist Europe’s creative and cultural sectors and industries. Currently we have an open Call for Proposals to launch a new EIT KIC in water, marine and maritime sectors & ecosystems. Find out more here . Have a look at how our existing Knowledge and Innovation Communities and how you can get involved in their communities. Climate KIC EIT Culture & Creativity 28DIGITAL EIT Food EIT Health InnoEnergy EIT Manufacturing EIT RawMaterials EIT Urban Mobility",https://www.eit.europa.eu/opportunities/call-eit-knowledge-and-innovation-communities,EIT,EIT,,,Em andamento,,EIT opportunities,submit_proposal,grant,['organizacao_internacional'],['organizacao_internacional'],"['energia', 'clima', 'digital']","['energia', 'clima', 'digital']","{'origem_portal': 'European Institute of Innovation and Technology', 'url_listagem': 'https://www.eit.europa.eu/our-activities/opportunities', 'url_detalhe': 'https://www.eit.europa.eu/opportunities/call-eit-knowledge-and-innovation-communities', 'url_pagina': 'https://www.eit.europa.eu/our-activities/opportunities', 'idioma_original': 'en', 'pais': 'Uniao Europeia', 'regiao': 'europa', 'tipo_oportunidade': 'call_for_proposals', 'tipo_recurso': 'grant', 'natureza_recurso': 'nao_reembolsavel', 'perfil_ideal': ['organizacao_internacional'], 'publico_alvo': ['organizacao_internacional'], 'setor_estrategico': ['energia', 'clima', 'digital'], 'setores_detectados': ['energia', 'clima', 'digital', 'saude', 'agricultura', 'industria', 'materiais', 'manufatura', 'cidades', 'ciencia_tecnologia'], 'tags_secundarias': ['saude', 'agricultura', 'industria', 'materiais', 'manufatura', 'cidades', 'ciencia_tecnologia'], 'area_tecnologica': ['energia', 'clima', 'digital'], 'documentos': [], 'pdf_url': '', 'metodo_extracao': 'international_onda_c_safe_html', 'metodo_classificacao': 'eit_local_calibration_seed', 'coletado_em': '2026-05-09'}"
EIT Water,"EIT Water EIT Water The Call for Proposals for EIT Water is now closed! The winning consortia leading EIT Water has been designated . As part of its strategy for 2021-2027, the EIT launched an open call to create a new Knowledge and Innovation Community (KIC) in the field of water, marine and maritime sectors and ecosystems in January 2025. The need and value of the Call was confirmed by a European Commission analysis published in June 2024 that presented how the establishment of the new KIC is needed to tackle water scarcity, droughts, floods, and marine and freshwater degradation. Following a rigorous evaluation process, a Pan-European consortium was selected to lead the creation of EIT Water in November 2025. The new KIC will unite water, marine, and maritime innovators to join the EIT Community and build a pan-European partnership that addresses the most pressing challenges facing water-related innovation ecosystems. What will this new Knowledge and Innovation Community set out to do? EIT Water will help position Europe as a global leader, strengthening the EU’s competitiveness, employment, and economic growth. It will apply the unique EIT KIC model and bring together top businesses, research centres, and universities to provide education programmes, innovation-driven research projects, and business creation and acceleration programmes. It will also forge synergies and complement existing initiatives by creating a pan-European ecosystem in the water, marine and maritime fields, connecting business, education and research organisations. The KIC will capitalise on the knowledge and findings of Horizon Europe Partnerships and missions, including the EU Mission ‘Restore our Ocean and Waters’. How was the winning team of the Call for EIT Water selected? The EIT has organised a series of info sessions and events , as well an extensive outreach campaign to inform business, research and academia across Europe about the Call for Proposals to create a new KIC in the water, marine and maritime sectors. After the 17 June 2025 application deadline, the evaluation of applications took place from June to September, with the involvement of external experts. By the end of October 2025, the EIT Governing Board (GB) confirmed evaluation results and invited those applicants to the EIT GB hearings who have reached the threshold of 70/100. The hearings took place on 11 November. Find out more about the evaluation process! What are the next steps? The winning consortium will be invited to submit a Start-Up Plan in late December 2025–early January 2026. The Start-Up Grant agreement is planned to be signed in February 2026, and upon successful completion of the start-up phase, the EIT will sign a 7-year Partnership Agreement in late 2026–early 2027 with the new KIC. Why the water, marine and maritime fields? Water is essential for sustaining all life on Earth. It plays a significant role in the Earth’s climate and biodiversity. It has a crucial role for health, wellbeing, and prosperity. It is also a vital source of food and renewable energy production, and a key driver of the global economy including trade and transport. Freshwater and marine ecosystems have been under considerable",https://www.eit.europa.eu/our-activities/call-for-eit-communities/eit-water,EIT,EIT,2025-06-17,,Em andamento,,EIT opportunities,apply,grant,"['empresa', 'pequena_empresa', 'media_empresa', 'universidade', 'ICT', 'pesquisador']","['empresa', 'pequena_empresa', 'media_empresa', 'universidade', 'ICT', 'pesquisador']","['energia', 'clima', 'saude']","['energia', 'clima', 'saude']","{'origem_portal': 'European Institute of Innovation and Technology', 'url_listagem': 'https://www.eit.europa.eu/our-activities/opportunities', 'url_detalhe': 'https://www.eit.europa.eu/our-activities/call-for-eit-communities/eit-water', 'url_pagina': 'https://www.eit.europa.eu/our-activities/opportunities', 'idioma_original': 'en', 'pais': 'Uniao Europeia', 'regiao': 'europa', 'tipo_oportunidade': 'research_grant', 'tipo_recurso': 'grant', 'natureza_recurso': 'nao_reembolsavel', 'perfil_ideal': ['empresa', 'pequena_empresa', 'media_empresa', 'universidade', 'ICT', 'pesquisador'], 'publico_alvo': ['empresa', 'pequena_empresa', 'media_empresa', 'universidade', 'ICT', 'pesquisador'], 'setor_estrategico': ['energia', 'clima', 'saude'], 'setores_detectados': ['energia', 'clima', 'saude', 'agricultura', 'cidades', 'educacao', 'ciencia_tecnologia'], 'tags_secundarias': ['agricultura', 'cidades', 'educacao', 'ciencia_tecnologia'], 'area_tecnologica': ['energia', 'clima', 'saude'], 'documentos': [{'nome': 'Find out more about the evaluation process!', 'url': 'https://www.eit.europa.eu/sites/default/files/2025-04/Explanatory%20note%20on%20EIT%20Water%20selection%20process%20_0.pdf'}, {'nome': 'Download the factsheet on the winning team!', 'url': 'https://www.eit.europa.eu/sites/default/files/2025-11/Water%20Factsheet_winning%20consortia.pdf'}, {'nome': 'Read the press release', 'url': 'https://www.eit.europa.eu/sites/default/files/2025-11/EIT%20Water%20announcement_PR_0.pdf'}, {'nome': 'Evaluation Criteria', 'url': 'https://eit.europa.eu/sites/default/files/2024-11/2024-33_20241030-GBWP-33_Adoption%20of%20evaluation%20criteria%20of%20the%20call%20for%20a%20new%20KIC%20Water.pdf'}, {'nome': 'SIA Factsheet on KIC in water, marine, and maritime sectors and ecosystems', 'url': 'https://eit.europa.eu/sites/default/files/2024-09/SIA%20factsheet%20on%20KIC%20in%20water%20marine%20and%20maritime.pdf'}], 'pdf_url': 'https://www.eit.europa.eu/sites/default/files/2025-04/Explanatory%20note%20on%20EIT%20Water%20selection%20process%20_0.pdf', 'metodo_extracao': 'international_onda_c_safe_html', 'metodo_classificacao': 'eit_local_calibration_seed', 'coletado_em': '2026-05-09'}"
EIT Culture & Creativity,"EIT Culture & Creativity EIT Culture & Creativity FAQs EIT Culture & Creativity is announced! Important note: The Call for Proposals is now closed . The applications will now be reviewed by external experts ahead of the designation of the new Knowledge and Innovation Community in June. 2021 Call for Proposals Read more about the EIT Innovation Model EIT Culture & Creativity will unite cultural and creative organisations from business, higher education, and research and beyond in a pan-European innovation ecosystem. It will train the sector’s future entrepreneurs, power its cutting-edge ventures, and deliver innovative solutions to the challenges facing the sectors. The Call for Proposals is now closed. The deadline for submitting applications for the call for proposal for EIT Culture & Creativity was Thursday 24 March 2022 17:00 CET. What is an EIT Knowledge and Innovation Community (KIC)? An EIT Knowledge and Innovation Community is a thriving partnership that brings together partners from business, research centres and higher education institutions to power innovation. The EIT has set up eight KICs , each tackling a specific global challenge, from climate change to sustainable energy and urban mobility to digitisation of our societies. The EIT Community powers: a new generation of trained entrepreneurs and innovators; innovative products and services, that are developed and launched on the market in green, health and deep tech; and start-ups and ventures that are formed and scaled. Why the Cultural and Creative Sectors and Industries? As set out in the EIT’s strategy for 2021 to 2027 , the Institute will launch a new Knowledge and Innovation Community (KIC) dedicated to the CCSI. These sectors and industries are Europe's heart and soul and highlight both our diversity and unity whilst inspiring us to innovate. CCSI are key drivers of sustainable growth and job creation across Europe but have been hit particularly hard by the COVID-19 pandemic and ensuing crisis. The suspension of cultural and creative activities has led to widespread job loss and economic disruption. It is therefore critical to support these sectors and industries and create new opportunities for innovation, education, business creation and acceleration. This will help power the next generation of innovators and creatives across Europe. You can learn more about the theme for EIT Culture & Creativity, the new EIT KIC, in this factsheet . What will this new Knowledge and Innovation Community set out to do? By uniting cultural and creative organisations from business, higher education organisations and research centres in a pan-European innovation ecosystem, EIT Culture & Creativity will deliver innovative solutions to help the sectors and industries become stronger and more resilient. This new innovation community will train the sector’s future entrepreneurs, power its cutting-edge ventures, and deliver innovative solutions to the challenges facing the sectors. It would also bridge regional innovation gaps and harness the power of these sectors to support Europe’s cultural leadership. What is the timeline of the Call for Proposals? Who is this Call for Proposals intended for? In line with Article 9 of the EIT Regulation , the EIT",https://www.eit.europa.eu/our-activities/call-for-eit-communities/CCSI,EIT,EIT,2022-03-24,,Em andamento,,EIT opportunities,submit_tender,oportunidade_fornecedor,"['empresa', 'pequena_empresa', 'media_empresa', 'consorcio']","['empresa', 'pequena_empresa', 'media_empresa', 'consorcio']","['energia', 'sustentabilidade', 'clima']","['energia', 'sustentabilidade', 'clima']","{'origem_portal': 'European Institute of Innovation and Technology', 'url_listagem': 'https://www.eit.europa.eu/our-activities/opportunities', 'url_detalhe': 'https://www.eit.europa.eu/our-activities/call-for-eit-communities/CCSI', 'url_pagina': 'https://www.eit.europa.eu/our-activities/opportunities', 'idioma_original': 'en', 'pais': 'Uniao Europeia', 'regiao': 'europa', 'tipo_oportunidade': 'procurement', 'tipo_recurso': 'oportunidade_fornecedor', 'natureza_recurso': '', 'perfil_ideal': ['empresa', 'pequena_empresa', 'media_empresa', 'consorcio'], 'publico_alvo': ['empresa', 'pequena_empresa', 'media_empresa', 'consorcio'], 'setor_estrategico': ['energia', 'sustentabilidade', 'clima'], 'setores_detectados': ['energia', 'sustentabilidade', 'clima', 'saude', 'cidades', 'educacao', 'ciencia_tecnologia'], 'tags_secundarias': ['saude', 'cidades', 'educacao', 'ciencia_tecnologia'], 'area_tecnologica': ['energia', 'sustentabilidade', 'clima'], 'documentos': [{'nome': '2021 Call for Proposals', 'url': 'https://www.eit.europa.eu/sites/default/files/eit_2021_call_for_ccsi_3.0.docx_.pdf'}, {'nome': 'factsheet', 'url': 'https://www.eit.europa.eu/sites/default/files/factsheet_on_the_kic_on_cultural_and_creative_sectors_and_industries_ccsi.pdf'}, {'nome': 'here', 'url': 'https://www.eit.europa.eu/sites/default/files/eit_2021_call_for_ccsi_3.0.docx_.pdf'}, {'nome': ""EIT's 2021 Call for Proposals"", 'url': 'https://www.eit.europa.eu/sites/default/files/eit_2021_call_for_ccsi_3.0.docx_.pdf'}, {'nome': 'Factsheet', 'url': 'https://www.eit.europa.eu/sites/default/files/factsheet_on_the_kic_on_cultural_and_creative_sectors_and_industries_ccsi.pdf'}, {'nome': 'Call for Proposals brochure', 'url': 'https://www.eit.europa.eu/sites/default/files/du-09-21-080-en-n_eit_call_for_proposals_2021_info.pdf'}], 'pdf_url': 'https://www.eit.europa.eu/sites/default/files/eit_2021_call_for_ccsi_3.0.docx_.pdf', 'metodo_extracao': 'international_onda_c_safe_html', 'metodo_classificacao': 'eit_local_calibration_seed', 'coletado_em': '2026-05-09'}"
Open Calls,Open Calls Open Calls All EIT open calls for tenders are published on the EU eTendering platform (TED) and can be found here . Further information about these procurement procedures can be obtained by contacting the EIT Procurement team at: eit-procurement@eit.europa.eu,https://www.eit.europa.eu/work-with-us/procurement/calls,EIT,EIT,,,Em andamento,,EIT opportunities,submit_tender,oportunidade_fornecedor,['fornecedor'],['fornecedor'],[],[],"{'origem_portal': 'European Institute of Innovation and Technology', 'url_listagem': 'https://www.eit.europa.eu/our-activities/opportunities', 'url_detalhe': 'https://www.eit.europa.eu/work-with-us/procurement/calls', 'url_pagina': 'https://www.eit.europa.eu/our-activities/opportunities', 'idioma_original': 'en', 'pais': 'Uniao Europeia', 'regiao': 'europa', 'tipo_oportunidade': 'procurement', 'tipo_recurso': 'oportunidade_fornecedor', 'natureza_recurso': '', 'perfil_ideal': ['fornecedor'], 'publico_alvo': ['fornecedor'], 'setor_estrategico': [], 'setores_detectados': [], 'tags_secundarias': [], 'area_tecnologica': [], 'documentos': [], 'pdf_url': '', 'metodo_extracao': 'international_onda_c_safe_html', 'metodo_classificacao': 'eit_local_calibration_seed', 'coletado_em': '2026-05-09'}"
Other Calls and Notices,Other Calls and Notices Other Calls and Notices,https://www.eit.europa.eu/work-with-us/procurement/other-calls,EIT,EIT,,,Em andamento,,EIT opportunities,submit_tender,oportunidade_fornecedor,['organizacao_internacional'],['organizacao_internacional'],[],[],"{'origem_portal': 'European Institute of Innovation and Technology', 'url_listagem': 'https://www.eit.europa.eu/our-activities/opportunities', 'url_detalhe': 'https://www.eit.europa.eu/work-with-us/procurement/other-calls', 'url_pagina': 'https://www.eit.europa.eu/our-activities/opportunities', 'idioma_original': 'en', 'pais': 'Uniao Europeia', 'regiao': 'europa', 'tipo_oportunidade': 'procurement', 'tipo_recurso': 'oportunidade_fornecedor', 'natureza_recurso': '', 'perfil_ideal': ['organizacao_internacional'], 'publico_alvo': ['organizacao_internacional'], 'setor_estrategico': [], 'setores_detectados': [], 'tags_secundarias': [], 'area_tecnologica': [], 'documentos': [], 'pdf_url': '', 'metodo_extracao': 'international_onda_c_safe_html', 'metodo_classificacao': 'eit_local_calibration_seed', 'coletado_em': '2026-05-09'}"
NEB Mentors - Open Call 2026,"NEB Mentors - Open Call 2026 NEB Mentors - Open Call 2026 NEB Mentors - Open Call 2026 Are you a design or business strategy expert that wants to support NEB impact through mentorship? Then the NEB Mentors Open Call 2026 is right for you! The EIT Community New European Bauhaus (NEB) is seeking independent external experts to join its 2026–2028 pool of NEB Mentors. Selected experts will support EIT Community NEB programmes and beneficiaries through mentoring and, where relevant, evaluation activities. Mentors will support participants across the Grow NEB , Catalyse NEB , and Enhance NEB programmes to integrate the NEB values of sustainability, aesthetics, and inclusion into their projects – from community-driven pilots to market-ready start-ups. Your Role As a Mentor Mentorship assignments may take place within one of the following programs : Catalyse NEB – refining value proposition, go-to-market strategy, and investor pitch of startups addressing societal challenges; Grow NEB – prototyping, validating and testing early-stage social impact solutions with end-users; Enhance NEB – scaling up of citizen engagement initiatives (inter)nationally. NEB Mentors are expected to carry out a variety of tasks, including: Help mentees clarify their Individual Development Plan Facilitate 1-on-1 sessions Participate in (de)briefing meetings and mentorship evaluations Professionals, entrepreneurs and investors with 10+ years of experience and expertise in at least one of the New European Bauhaus challenge areas: Reconnecting with nature Regaining a sense of belonging Prioritising the people and places that need it most Fostering long-term, circular thinking Reconnecting with nature Regaining a sense of belonging Prioritising the people and places that need it most Fostering long-term, circular thinking We welcome two complementary profiles: Design Mentors, Business Mentors Fluent in English and legally able to work and invoice in the EU or Horizon Europe associated countries Available to support at least one mentee per year in selected programmes (Catalyse NEB, Enhance NEB, and/or Grow NEB) Willing to sign the Climate KIC One‑Off Supply of Services Agreement, including EUR 1,250 + VAT per completed mentorship assignment (maximum 3 assignments per year)",https://www.eit.europa.eu/our-activities/opportunities/neb-mentors-open-call-2026,EIT,EIT,,,Em andamento,,EIT opportunities,apply,apoio_inovacao,"['empresa', 'pequena_empresa', 'media_empresa']","['empresa', 'pequena_empresa', 'media_empresa']","['sustentabilidade', 'clima']","['sustentabilidade', 'clima']","{'origem_portal': 'European Institute of Innovation and Technology', 'url_listagem': 'https://www.eit.europa.eu/our-activities/opportunities', 'url_detalhe': 'https://www.eit.europa.eu/our-activities/opportunities/neb-mentors-open-call-2026', 'url_pagina': 'https://www.eit.europa.eu/our-activities/opportunities', 'idioma_original': 'en', 'pais': 'Uniao Europeia', 'regiao': 'europa', 'tipo_oportunidade': 'startup_programme', 'tipo_recurso': 'apoio_inovacao', 'natureza_recurso': 'nao_reembolsavel', 'perfil_ideal': ['empresa', 'pequena_empresa', 'media_empresa'], 'publico_alvo': ['empresa', 'pequena_empresa', 'media_empresa'], 'setor_estrategico': ['sustentabilidade', 'clima'], 'setores_detectados': ['sustentabilidade', 'clima'], 'tags_secundarias': [], 'area_tecnologica': ['sustentabilidade', 'clima'], 'documentos': [], 'pdf_url': '', 'metodo_extracao': 'international_onda_c_safe_html', 'metodo_classificacao': 'eit_local_calibration_seed', 'coletado_em': '2026-05-09'}"
ClimateLaunchpad 2026,"ClimateLaunchpad 2026 ClimateLaunchpad 2026 ClimateLaunchpad 2026 Join the World's Largest Green Business Ideas Competition! Since 2014, ClimateLaunchpad has operated across 97 countries as the world’s largest green business ideas competition. It is not just about talking about change; it is actively co-creating the next economy by providing the expertise, skills, and validation required to turn climate concepts into formidable ventures. Through our year-round programme and global pitching events, over 5 000 teams have been helped to perfect their business models and sharpen their pitches. The track record is defined by real world impact, with 500 training bootcamps delivered and a global network of connections that has enabled Climate KIC alumni to raise more than €500 million in investment. By offering early stage startups the necessary avenues for funding and exposure, a global movement of entrepreneurs who are pitching in for the planet continues to be empowered. What's in it for You? Apply to the 2026 cohort and get a chance to: Receive expert coaching and mentors to advance your idea Attend a structured programme to test, learn, and validate your business model Meet a global network of investors and fellow changemakers To pitch live at the Global Grand Final in Singapore and compete for top prizes. If your sustainability venture is under two years old, has raised less than €200 000 in total funding, and has not yet sold products or services on commercial terms, you are eligible. Please note that deadlines vary by country. Discover more and apply now! You may also be interested in",https://www.eit.europa.eu/our-activities/opportunities/climatelaunchpad-2026,EIT,EIT,,,Em andamento,,EIT opportunities,apply,apoio_inovacao,"['empresa', 'pequena_empresa', 'media_empresa']","['empresa', 'pequena_empresa', 'media_empresa']","['sustentabilidade', 'clima', 'educacao']","['sustentabilidade', 'clima', 'educacao']","{'origem_portal': 'European Institute of Innovation and Technology', 'url_listagem': 'https://www.eit.europa.eu/our-activities/opportunities', 'url_detalhe': 'https://www.eit.europa.eu/our-activities/opportunities/climatelaunchpad-2026', 'url_pagina': 'https://www.eit.europa.eu/our-activities/opportunities', 'idioma_original': 'en', 'pais': 'Uniao Europeia', 'regiao': 'europa', 'tipo_oportunidade': 'startup_programme', 'tipo_recurso': 'apoio_inovacao', 'natureza_recurso': 'nao_reembolsavel', 'perfil_ideal': ['empresa', 'pequena_empresa', 'media_empresa'], 'publico_alvo': ['empresa', 'pequena_empresa', 'media_empresa'], 'setor_estrategico': ['sustentabilidade', 'clima', 'educacao'], 'setores_detectados': ['sustentabilidade', 'clima', 'educacao'], 'tags_secundarias': [], 'area_tecnologica': ['sustentabilidade', 'clima', 'educacao'], 'documentos': [], 'pdf_url': '', 'metodo_extracao': 'international_onda_c_safe_html', 'metodo_classificacao': 'eit_local_calibration_seed', 'coletado_em': '2026-05-09'}"
EIT Jumpstarter 2026,"EIT Jumpstarter 2026 EIT Jumpstarter 2026 EIT Jumpstarter 2026 Applications are now open for the 2026 edition of EIT Jumpstarter! The programme supports early-stage innovators in transforming science-based ideas into viable start-ups through training, mentoring, and a structured entrepreneurial journey that culminates in an international pitch competition. Participants have the opportunity to compete for over €240 000 in financial support, including prizes of €10 000, €5 000 and €3 000 for the top teams in each thematic cohort. In addition, special prizes of €2 500 will recognise the best projects from the EU Outermost Regions, the Western Balkans and Ukraine, as well as solutions aligned with the New European Bauhaus initiative. Beyond financial support, participants receive more than 55 hours of entrepreneurial training, expert mentoring, professional pitch development and access to the EIT’s pan-European innovation network. EIT Jumpstarter is the perfect environment to validate an innovative idea and determine whether it can grow into a viable product or service. The 2026 edition offers also stronger alignment with European innovation priorities, to progress towards investment readiness. Participants join a supportive community, benefit from expert mentoring and gain the entrepreneurial mindset needed to build and scale a start-up, The renewed programme design empowers innovators to move faster, focus on market fit and confidently transform early‑stage ideas into scalable ventures. Adam Strzelecki, EIT Jumpstarter Programme Lead EIT Jumpstarter primarily targets innovators from countries participating in the EIT Regional Innovation Scheme (EIT RIS), while also providing dedicated recognition for innovators from the EU Outermost Regions, the Western Balkans and Ukraine. Since its launch, the programme has trained more than 1 500 innovators, supported the creation of over 150 startups, generated more than 2 600 jobs, and helped young companies attract over €150 million in investment, demonstrating its growing impact in strengthening Europe’s early-stage innovation ecosystem. Eligible Thematic Areas Participants will develop their ideas within one of six thematic cohorts aligned with Europe’s key innovation priorities: Food & Agritech (EIT Food), Healthcare (EIT Health), Energy & Renewables (InnoEnergy), Advanced & Green Manufacturing (EIT Manufacturing), Metals, Minerals, Advanced Materials & Industrial Side Streams (EIT RawMaterials), and Smart Cities & Urban Mobility (EIT Urban Mobility). A special cohort dedicated to entrepreneurial talent from Malta, powered by EIT Community and Xjenza Malta, will also be featured in this year’s edition.",https://www.eit.europa.eu/our-activities/opportunities/eit-jumpstarter-2026,EIT,EIT,,,Em andamento,,EIT opportunities,apply,apoio_inovacao,"['empresa', 'pequena_empresa', 'media_empresa']","['empresa', 'pequena_empresa', 'media_empresa']","['energia', 'sustentabilidade', 'saude']","['energia', 'sustentabilidade', 'saude']","{'origem_portal': 'European Institute of Innovation and Technology', 'url_listagem': 'https://www.eit.europa.eu/our-activities/opportunities', 'url_detalhe': 'https://www.eit.europa.eu/our-activities/opportunities/eit-jumpstarter-2026', 'url_pagina': 'https://www.eit.europa.eu/our-activities/opportunities', 'idioma_original': 'en', 'pais': 'Uniao Europeia', 'regiao': 'europa', 'tipo_oportunidade': 'startup_programme', 'tipo_recurso': 'apoio_inovacao', 'natureza_recurso': 'nao_reembolsavel', 'perfil_ideal': ['empresa', 'pequena_empresa', 'media_empresa'], 'publico_alvo': ['empresa', 'pequena_empresa', 'media_empresa'], 'setor_estrategico': ['energia', 'sustentabilidade', 'saude'], 'setores_detectados': ['energia', 'sustentabilidade', 'saude', 'agricultura', 'industria', 'materiais', 'manufatura', 'cidades', 'educacao', 'ciencia_tecnologia'], 'tags_secundarias': ['agricultura', 'industria', 'materiais', 'manufatura', 'cidades', 'educacao', 'ciencia_tecnologia'], 'area_tecnologica': ['energia', 'sustentabilidade', 'saude'], 'documentos': [], 'pdf_url': '', 'metodo_extracao': 'international_onda_c_safe_html', 'metodo_classificacao': 'eit_local_calibration_seed', 'coletado_em': '2026-05-09'}"
Scaleup Promotion Initiative Open Call,"Scaleup Promotion Initiative Open Call Scaleup Promotion Initiative Open Call Scaleup Promotion Initiative Open Call The Scaleup Promotion initiative is expected to be implemented during the period 2026-2028. The call aims to strategically position EIT Urban Mobility and European urban mobility scaleups at major events, connect them with investors and corporates, and strengthen their access to growth and funding opportunities, including European Innovation Council (EIC) instruments. Proposals must demonstrate strong expertise and proven experience in the promotion and international positioning of scaleups, particularly in the fields of mobility, climate tech and impact-driven innovation. Experience in designing and delivering high-level visibility initiatives for scaleups, investor engagement formats and activating ecosystems to maximise opportunities for entrepreneurs is a key requirement. Applicants must demonstrate their ability to: Strategically position scaleups at major European and international mobility, innovation and investment events; Facilitate meaningful and measurable connections between scaleups and private and public investors; Design and deliver events focused on connecting scaleups with investors and corporations; Provide structured support to scaleups in relation to European Innovation Council (EIC) instruments and opportunities; Strengthen EIT Urban Mobility’s positioning as Europe’s leading platform for impact-driven urban mobility scaleups and investment.",https://www.eit.europa.eu/our-activities/opportunities/scaleup-promotion-initiative-open-call,EIT,EIT,,,Em andamento,,EIT opportunities,submit_proposal,grant,['organizacao_internacional'],['organizacao_internacional'],"['clima', 'cidades', 'ciencia_tecnologia']","['clima', 'cidades', 'ciencia_tecnologia']","{'origem_portal': 'European Institute of Innovation and Technology', 'url_listagem': 'https://www.eit.europa.eu/our-activities/opportunities', 'url_detalhe': 'https://www.eit.europa.eu/our-activities/opportunities/scaleup-promotion-initiative-open-call', 'url_pagina': 'https://www.eit.europa.eu/our-activities/opportunities', 'idioma_original': 'en', 'pais': 'Uniao Europeia', 'regiao': 'europa', 'tipo_oportunidade': 'call_for_proposals', 'tipo_recurso': 'grant', 'natureza_recurso': 'nao_reembolsavel', 'perfil_ideal': ['organizacao_internacional'], 'publico_alvo': ['organizacao_internacional'], 'setor_estrategico': ['clima', 'cidades', 'ciencia_tecnologia'], 'setores_detectados': ['clima', 'cidades', 'ciencia_tecnologia'], 'tags_secundarias': [], 'area_tecnologica': ['clima', 'cidades', 'ciencia_tecnologia'], 'documentos': [], 'pdf_url': '', 'metodo_extracao': 'international_onda_c_safe_html', 'metodo_classificacao': 'eit_local_calibration_seed', 'coletado_em': '2026-05-09'}"
Women2Invest,"Women2Invest Women2Invest Women2Invest is a 15-week online programme designed for women in STEAM who are ready to transition into venture capital (VC). Delivered in partnership with IE University, one of the world’s leading higher education institutions, the programme combines a global perspective, an entrepreneurial mindset, and a strong focus on real-world impact. Key features include: A solid introduction to venture capital, suitable for participants starting from any background Practical, hands-on and immersive learning through live online sessions, case studies, applied assignments, simulated investment processes, and collaborative group work Insights from experienced VC professionals and industry experts Access to a strong, Europe-wide network of women entering and already active in VC The opportunity to be matched with leading VC funds for a paid internship Dedicated career support to support participants in taking their first steps into the investment ecosystem An official certificate from EIT, including a LinkedIn credential with a unique personal ID The programme is scheduled to run from September to December 2026 (dates subject to final confirmation). Participants are expected to commit approximately five hours per week via a dedicated online learning platform, which provides access to session materials and practical tools for immediate application. Who is the Women2Invest programme for? The programme is designed for women with a STEAM background in science, technology, engineering, arts, or mathematics at the undergraduate, master’s, or PhD level. Eligible applicants must meet the following criteria: Be in the final year of studies or have graduated within the past 7 years Have full command of English, as the training is delivered entirely in this language Have a genuine interest in venture capital and startups Be curious, driven, detail-oriented, and motivated to learn The programme welcomes applications from: Women outside of major entrepreneurial hubs or big cities Underrepresented minority groups Residents of countries covered by the EIT Regional Innovation Scheme (RIS)",https://www.eit.europa.eu/our-activities/opportunities/women2invest-0,EIT,EIT,,,Em andamento,,EIT opportunities,apply,apoio_inovacao,"['empresa', 'pequena_empresa', 'media_empresa', 'universidade', 'ICT', 'pesquisador']","['empresa', 'pequena_empresa', 'media_empresa', 'universidade', 'ICT', 'pesquisador']","['industria', 'materiais', 'cidades']","['industria', 'materiais', 'cidades']","{'origem_portal': 'European Institute of Innovation and Technology', 'url_listagem': 'https://www.eit.europa.eu/our-activities/opportunities', 'url_detalhe': 'https://www.eit.europa.eu/our-activities/opportunities/women2invest-0', 'url_pagina': 'https://www.eit.europa.eu/our-activities/opportunities', 'idioma_original': 'en', 'pais': 'Uniao Europeia', 'regiao': 'europa', 'tipo_oportunidade': 'startup_programme', 'tipo_recurso': 'apoio_inovacao', 'natureza_recurso': 'nao_reembolsavel', 'perfil_ideal': ['empresa', 'pequena_empresa', 'media_empresa', 'universidade', 'ICT', 'pesquisador'], 'publico_alvo': ['empresa', 'pequena_empresa', 'media_empresa', 'universidade', 'ICT', 'pesquisador'], 'setor_estrategico': ['industria', 'materiais', 'cidades'], 'setores_detectados': ['industria', 'materiais', 'cidades', 'educacao', 'ciencia_tecnologia'], 'tags_secundarias': ['educacao', 'ciencia_tecnologia'], 'area_tecnologica': ['industria', 'materiais', 'cidades'], 'documentos': [], 'pdf_url': '', 'metodo_extracao': 'international_onda_c_safe_html', 'metodo_classificacao': 'eit_local_calibration_seed', 'coletado_em': '2026-05-09'}"
