titulo,link,descricao,fonte,data_publicacao,fim_inscricao,situacao,extras
Consultas Públicas,https://www.gov.br/mma/pt-br/assuntos/consultas-publicas,Consultas Públicas,MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
Destinação de Florestas Públicas,https://www.gov.br/mma/pt-br/assuntos/controle-ao-desmatamento-queimadas-e-ordenamento-ambiental-territorial/destinacao-de-florestas-publicas,"O desmatamento na Amazônia Legal contribui diretamente para a emissão de gases de efeito estufa e, consequentemente, para a mudança do clima. Segundo dados do Projeto de Monitoramento do Desmatamento na Amazônia Legal por Satélite (Prodes), do Instituto Nacional de Pesquisas Espaciais (Inpe), para o período entre agosto de 2022 e julho de 2023, constata-se que aproximadamente 60% do desmatamento na região ocorreu em terras públicas, dos quais cerca de 24% foram registrados nos mais de 100 milhões de hectares de terras públicas ainda não destinadas (federais e estaduais), com a quase totalidade desse percentual em áreas sob responsabilidade federal. De acordo com a última atualização do Cadastro Nacional de Florestas Públicas, gerido pelo Serviço Florestal Brasileiro (SFB), cerca de 63,4 milhões de hectares desse contingente de terras públicas ainda não destinadas são constituídos por áreas dotadas de cobertura florestal (classificadas como florestas públicas do tipo B). Conforme ilustra a figura abaixo, 31,2 milhões de hectares são constituídos por florestas públicas federais (cor verde) e 32,2 milhões de hectares por florestas públicas estaduais (cor amarela). A fim de contribuir, portanto, com os compromissos nacionais e internacionais firmados pelo Governo Brasileiro de redução do desmatamento e da emissão de gases de efeito estufa e, ao mesmo tempo, promover a conservação dos ecossistemas brasileiros e o reconhecimento de direitos territoriais individuais e coletivos, a destinação das terras e florestas públicas federais foi inserida como um dos componentes estratégicos da nova fase do Plano de Ação para Prevenção e Controle do Desmatamento na Amazônia Legal (PPCDAm), que abrange o período de 2023 a 2027. No âmbito do eixo de ordenamento territorial e fundiário do plano, foi definido como um dos objetivos ""garantir a destinação de terras públicas federais não destinadas para proteção e uso sustentável, especialmente para povos indígenas e comunidades tradicionais"", tendo como meta a destinação de 29,5 milhões de hectares de florestas públicas federais até 2027. Para tanto, dentre as ações previstas encontram-se, dentre outras, a identificação e incorporação das terras devolutas ainda existentes na Amazônia Legal ao patrimônio da União, o estabelecimento de fluxo de informações entre os órgãos fundiários das diferentes esferas e a proposição de destinação, para proteção, conservação e uso sustentável, das florestas públicas ainda não destinadas. Ademais, consta prevista no Plano Plurianual (PPA) 2024-2027 a entrega 1199, integrante do programa ""Proteção e Recuperação da Biodiversidade e Combate ao Desmatamento e Incêndios"", que reforça o compromisso de destinação de 29,5 milhões de hectares de florestas públicas federais até o ano de 2027.",MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
Programa União com Municípios,https://www.gov.br/mma/pt-br/assuntos/controle-ao-desmatamento-queimadas-e-ordenamento-ambiental-territorial/programa-uniao-com-municipios,"O Programa União com Municípios pela Redução do Desmatamento e Incêndios Florestais na Amazônia (UcM) foi criado por meio do Decreto nº 11.687 de 5 de setembro de 2023, que dispõe sobre as ações relativas à prevenção, ao monitoramento, ao controle e à redução do desmatamento e da degradação florestal no Bioma Amazônia e prevê a implementação de ações nos municípios prioritários para controle do desmatamento. Este programa prevê investimentos de R$ 785 milhões para promover o desenvolvimento sustentável e combater o desmatamento e incêndios florestais em 81 municípios prioritários na Amazônia. A iniciativa é parte do Plano de Ação para Prevenção e Controle do Desmatamento na Amazônia (PPCDAm). Lançamento do programa União com Municípios, no Palácio do Planalto. Foto: Ricardo Stuckert/PR Este programa foi concebido com base na necessidade de aprimoramento das políticas de controle do desmatamento, bem como, demandas de parlamentares da região. Serão apoiadas ações de regularização fundiária e ambiental, assistência técnica e extensão rural em glebas públicas federais não destinadas, para ocupações de até quatro módulos fiscais no apoio à agricultura familiar, além de ações de recuperação produtiva por meio de sistemas agroflorestais. Em 9 de novembro de 2023, foi publicada a Portaria GM/MMA nº 833, que estabeleceu em seu Art. 1º os critérios para a edição da lista de municípios prioritários: “I - área total de floresta desmatada, de acordo com os dados do Programa de Cálculo do Desflorestamento da amazônia - Prodes/INPE, igual ou superior a 80 km², no último período de monitoramento realizado pelo Instituto Nacional de Pesquisas Espaciais – INPE;",MMA / FNMA,2024-05-22,2026-06-30,Aberto,"{'anexos': [{'nome': 'Folder do Programa União com Municípios', 'url': 'https://www.gov.br/mma/pt-br/assuntos/combate-ao-desmatamento-queimadas-e-ordenamento-ambiental-territorial/programa-uniao-com-municipios/mma_folder_digital_final_2025.pdf'}], 'fonte_original': 'MMA gov.br'}"
Projeto Floresta+ Amazônia,https://www.gov.br/mma/pt-br/assuntos/controle-ao-desmatamento-queimadas-e-ordenamento-ambiental-territorial/projeto-floresta-amazonia,"O Projeto Floresta+ Amazônia é uma iniciativa do Ministério do Meio Ambiente e Mudança do Clima (MMA) financiada pelo Fundo Verde para o Clima (GCF, na sigla em inglês). O projeto visa recompensar aqueles que protegem e recuperam a floresta, contribuindo para a redução de emissões de gases de efeito estufa. Até 2026, serão investidos um total de 96 milhões de dólares nos estados amazônicos, por meio de ações e incentivos financeiros, com pagamentos por serviços ambientais e a execução de projetos que beneficiarão diretamente as comunidades locais. O projeto é implementado em parceria com o Programa das Nações Unidas para o desenvolvimento (PNUD) e supervisionado pela Agência Brasileira de Cooperação – ABC. O Floresta+ Amazônia apoia a implementação do Código Florestal, alinhando-se à Estratégia Nacional de REDD+ (ENREDD+), à Contribuição Nacionalmente Determinada (NDC), à Política Nacional de Gestão Territorial e Ambiental de Terras Indígenas (PNGATI) e à Lei nº 14.119, de 13 de janeiro de 2021, que estabelece a Política Nacional de Pagamento por Serviços Ambientais. Seu principal objetivo é fortalecer a gestão ambiental e promover o desenvolvimento sustentável da Amazônia Legal. Com a implementação do Floresta+ Amazônia, o governo reafirma seu compromisso com a proteção do meio ambiente, alinhado aos objetivos internacionais de combate às mudanças climáticas e à conservação da biodiversidade. O projeto tem como base o fortalecimento da governança ambiental, envolvendo múltiplos atores do poder público federal, estadual e municipal, sociedade civil e setor privado, com foco em resultados concretos para a Amazônia Legal. Pagamentos diretos para agricultores familiares na Amazônia, que tenham posse ou propriedade de imóvel rural totalizando até 4 módulos fiscais com referência nos termos do item V, do artigo 3º, da Lei de Proteção da Vegetação Nativa (Lei nº 12.651/2012), com o objetivo de conservar remanescentes de vegetação nativa. Sec. Responsável: SECD Pagamentos diretos para pequenos produtores rurais, que tenham posse ou propriedade de imóvel rural totalizando até 4 módulos fiscais, com referência nos termos do item V, do artigo 3º, da Lei de Proteção da Vegetação Nativa (Lei nº 12.651/2012), com o objetivo de recuperar Áreas de Preservação Permanente e recuperação produtiva. Sec.: Responsável: SECD",MMA / FNMA,,,Aberto,"{'anexos': [{'nome': 'Link/Documento', 'url': 'file:///C:/Users/Admin/Downloads/Texto_Floresta_Site_coment%C3%A1rios%20Nazar%C3%A9_editado%20Nathalia.docx#_msocom_1'}], 'fonte_original': 'MMA gov.br'}"
Programa de Formação em Sociobioeconomia e Agroecologia para Agentes de Crédito Rural,https://www.gov.br/mma/pt-br/assuntos/bioeconomia/programa-de-formacao%20em-sociobioeconomia,"O Programa de Formação em Sociobioeconomia e Agroecologia para Agentes de Crédito Rural (PFSA), instituído pela Portaria Conjunta MDA/MMA nº 2 de 2025, qualifica profissionais para facilitar o acesso de agricultores familiares, povos tradicionais e extrativistas ao crédito, especialmente o Pronaf, focando em práticas sustentáveis. O programa foi instituído com vistas a aprimorar as intervenções junto aos povos e comunidades tradicionais, povos indígenas, comunidades quilombolas e agricultores familiares, qualificando processos de planejamento e gestão de suas atividades e organizações produtivas, com ênfase na estruturação de projetos de crédito rural para a sociobioeconomia e a agroecologia. Por que formar os Agentes de Crédito em Sociobioeconomia e Agroecologia?Para facilitar o acesso e contratação de crédito rural do PRONAF – microcrédito (Grupo B) voltado ao custeio de produtos da sociobiodiversidade através dos recursos dos Fundos Constitucionais, incluindo Povos Indígenas, Povos e Comunidades Tradicionais e Agricultores Familiares - PIPCTAFs.Promovendo assim a inclusão financeira, fomentando a sociobioeconomia e incentivando práticas de agroecologia, contribuindo assim para o desenvolvimento sustentável das regiões Norte, Nordeste e Centro-Oeste.Objetivo do PFSAQualificação profissional dos Agentes de Crédito Rural, com vistas a aprimorar sua intervenção junto aos PIPCTAFs, apoiando o planejamento e a gestão de suas atividades e organizações produtivas, com ênfase na estruturação de projetos de crédito rural para a Sociobioeconomia e Agroecologia.Objetivos específicos dos agentes PFSA1. Ter competências e habilidades para o fortalecimento da sociobioeconomia e da agroecologia;2. Promover a Educação Financeira;3. Ampliar o acesso e contratação de crédito rural, no âmbito do Programa Nacional de Fortalecimento da Agricultura Familiar - PRONAF, estimulando as cadeias da sociobioeconomia e sistemas de produção de base agroecológica;4. Contribuir com as instituições de assistência técnica e extensão rural públicas e privadas na elaboração de projetos da agroecologia e da sociobioeconomia;5. Facilitar o acesso às Políticas Públicas que contribuam com a ampliação de renda dos PIPCTAFs e redução dos índices de pobreza no campo;6. Acompanhar e monitorar as famílias que acessem o crédito para a promoção de boas práticas sustentáveis de produção e manejo, bem como para a boa gestão voltada à adimplência dos financiamentos e;7. Levantar informações do cadastro socioprodutivo das Unidades Familiares de Produção, para subsidiar estratégias regionalizadas para solucionar os principais entraves documentais de acesso e contratação do crédito. São objetivos do PFSA, especificados na referida portaria (Art. 2°): I - qualificar os Agentes de Crédito Rural, junto às instituições financeiras, contribuindo para o desenvolvimento de competências e habilidades necessárias ao fortalecimento da sociobioeconomia e da agroecologia; II - qualificar os Agentes de Crédito Rural para que atuem como promotores de Educação Financeira no âmbito dos povos e comunidades tradicionais, povos indígenas, comunidades quilombolas e agricultores familiares;",MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
Programação,https://www.gov.br/mma/pt-br/assuntos/5a-conferencia-nacional-do-meio-ambiente/programacao,Programação,MMA / FNMA,,,Aberto,"{'anexos': [{'nome': 'Link/Documento', 'url': 'https://www.gov.br/mma/pt-br/assuntos/5a-conferencia-nacional-do-meio-ambiente/programacao/painel-programacao-geral.pdf'}, {'nome': 'Programação Geral', 'url': 'https://www.gov.br/mma/pt-br/assuntos/5a-conferencia-nacional-do-meio-ambiente/programacao/painel-programacao-geral.pdf'}, {'nome': 'Link/Documento', 'url': 'https://www.gov.br/mma/pt-br/assuntos/5a-conferencia-nacional-do-meio-ambiente/programacao/painel-programacao-cultural-cnma.pdf'}, {'nome': 'Programação Cultural', 'url': 'https://www.gov.br/mma/pt-br/assuntos/5a-conferencia-nacional-do-meio-ambiente/programacao/painel-programacao-cultural-cnma.pdf'}], 'fonte_original': 'MMA gov.br'}"
A3P,https://www.gov.br/mma/pt-br/assuntos/educacao-ambiental/responsabilidade-socioambiental,"A Agenda Ambiental na Administração Pública (A3P) é um programa do Ministério do Meio Ambiente que objetiva estimular os órgãos públicos do país a implementarem práticas de sustentabilidade. Há mais de 20 anos, o programa promove a responsabilidade socioambiental junto às instituições públicas dos Três Poderes (Executivo, Legislativo e Judiciário) e nas três esferas (federal, estadual e municipal) Saiba como aderir e implementar a A3P no Portal A3P Responsabilidade Socioambiental pode ser entendida como o compromisso que pessoas ou organizações assumem com a sociedade e com o meio ambiente, por meio de práticas éticas e transparentes que contribuam para o desenvolvimento sustentável, preservando recursos naturais e promovendo justiça social. O Ministério do Meio Ambiente e Mudança do Clima (MMA) desenvolve políticas públicas que visam promover a responsabilidade social que vão além das obrigações meramente legais e econômicas. Ao aderir a programas de Responsabilidade Ambiental, pessoas, empresas, instituições e órgão da administração pública assumem uma postura que integra o respeito ao meio ambiente com políticas que visam a sustentabilidade e o bem-estar social em seu órgão, instituição ou empresa.",MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
2. Ações e Programas,https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas,2. Ações e Programas,MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
"2.1. Programas, Projetos, Ações, Obras e Atividades",https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/programa-projetos-acoes-obras-atividades,"Em atendimento ao Decreto nº 7.724/2012 e à Instrução Normativa nº 84/2020, do Tribunal de Contas da União, esta seção apresenta os principais programas, projetos, ações e atividades finalísticos executados pelo MMA, com indicação da unidade do ministério responsável pela implementação de cada um. As metas e resultados, além de outras informações a respeito deles, podem ser obtidas em suas páginas específicas. 5ª Conferência Nacional do Meio Ambiente",MMA / FNMA,,,Aberto,"{'anexos': [], 'fonte_original': 'MMA gov.br'}"
Ministério do Meio Ambiente e Mudança do Clima (MMA),https://www.gov.br/mma/pt-br/acesso-a-informacao/acoes-e-programas/carta-de-servicos,Mais informações sobre todos os serviços oferecidos por este órgão podem ser encontrados também em formato PDF.,MMA / FNMA,,,Aberto,"{'anexos': [{'nome': 'formato PDF', 'url': 'https://www.gov.br/pt-br/orgaos/ministerio-do-meio-ambiente-e-mudanca-do-clima/@@download.pdf'}], 'fonte_original': 'MMA gov.br'}"
